SRR13191702,alpha,SRR13191702_1.fastq.gz,SRR13191702_2.fastq.gz
SRR13191703,alpha,SRR13191703_1.fastq.gz,SRR13191703_2.fastq.gz
SRR14031324,delta,SRR14031324_1.fastq.gz,SRR14031324_2.fastq.gz
SRR14031325,delta,SRR14031325_1.fastq.gz,SRR14031325_2.fastq.gz
